NHL_player_ID, player,season,timeOnIce,ot,shutouts,wins,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8471239,Cory Schneider,20092010,78:42,0,0,0,NA,1,54,5,3,46,3,49,7,0.915,3.8119,2,1,59,5,71.42857142857143,100.0,93.87755102040816,
8471239,Cory Schneider,20102011,1371:47,2,1,16,NA,4,663,143,19,501,20,537,157,0.929,2.2307,25,22,714,51,91.0828025477707,95.0,93.29608938547486,
8471239,Cory Schneider,20112012,1832:50,1,3,20,NA,8,885,163,24,698,25,750,170,0.937,1.9642,33,28,945,60,95.88235294117648,96.0,93.06666666666666,
8471239,Cory Schneider,20122013,1733:19,4,5,17,NA,9,774,115,21,638,22,685,128,0.927,2.1116,30,30,835,61,89.84375,95.45454545454545,93.13868613138686,
8471239,Cory Schneider,20132014,2679:54,12,3,16,NA,15,1019,171,33,815,33,888,186,0.921,1.9702,45,43,1107,88,91.93548387096774,100.0,91.77927927927928,
8471239,Cory Schneider,20142015,3923:55,9,5,26,NA,31,1834,296,44,1494,48,1602,332,0.925,2.263,69,68,1982,148,89.1566265060241,91.66666666666666,93.25842696629213,
8471239,Cory Schneider,20152016,3412:26,6,4,27,NA,25,1475,228,39,1208,44,1295,258,0.924,2.1451,58,58,1597,122,88.37209302325581,88.63636363636364,93.28185328185327,
8471239,Cory Schneider,20162017,3472:50,11,2,20,NA,27,1618,207,43,1368,52,1487,242,0.908,2.8161,60,59,1781,163,85.53719008264463,82.6923076923077,91.99731002017485,
8471239,Cory Schneider,20172018,2332:15,6,1,17,0,16,1114,169,34,911,36,996,196,0.907,2.93,40,40,1228,114,86.22448979591837,94.44444444444444,91.46586345381526,
8471239,Cory Schneider,20182019,1371:47,4,1,6,0,13,648,74,22,552,25,610,83,0.903,3.06,26,23,718,70,89.1566265060241,88.0,90.49180327868852,
8471251,Justin Peters,20092010,488:00,0,0,6,NA,3,218,29,7,182,8,197,36,0.905,2.8279,9,8,241,23,80.55555555555556,87.5,92.38578680203045,
8471251,Justin Peters,20102011,648:17,1,0,3,NA,5,300,51,11,238,12,267,64,0.875,3.9797,12,8,343,43,79.6875,91.66666666666666,89.13857677902621,
8471251,Justin Peters,20112012,387:04,2,1,2,NA,3,217,26,8,183,8,193,32,0.931,2.4802,7,6,233,16,81.25,100.0,94.81865284974094,
8471251,Justin Peters,20122013,954:24,1,1,4,NA,11,451,69,13,369,15,413,78,0.891,3.4577,19,16,506,55,88.46153846153845,86.66666666666667,89.34624697336562,
